Score;Fit;Regionsbonus;Ausschlussgrund;Firma;Ort;PLZ;Kanton;Region;Ausgeschriebene Stelle;Pensum;Anzahl Stellen;Mitarbeitende;Groesse belegt;Groessenhinweis;Software;Vermittler;Quelle;Inserat-URL;Website;Kontakt;Mail;Telefon;Beleglage;Notiz
74;69;5;;Universal-Job AG;Zug;6003;ZG;übrige Zentralschweiz;"Sachbearbeiter Treuhandwesen 80-100% (Region Zug); Senior Sachbearbeiter Treuhand 80-100%";80-100%;6;;;370 Jobs auf zentralschweiz-jobs.ch, 127 auf buchhalter-jobs.ch;Abacus / Banana / bexio;ja;jobscout24.ch;https://zentralschweiz-jobs.ch/company/universal-job-ag/3268716554;https://www.universal-job.ch;;;0697145745;indiziert;"Weitere offene Stellen: Sachbearbeiter/in Treuhand (für Kundenfirma); Engagierter Sachbearbeiter Treuhand m/w 80-100% (Zug) / Sachbearbeiter Treuhand 80-100% (Luzern) / Mitarbeiter im Treuhand-Buchhaltung 80-100%; Sachbearbeiter Treuhand 80-100% (m/w/d) / Sachbearbeiter/in Treuhand 60-100%; Sachbearbeiter /Treuhand 100% (m/w/d) sowie Sachbearbeiter/in Treuhand und/oder Buchhaltung; Sachbearbeiter/in Treuhand 60-100% - Endkunde nicht genannt | Auch gefunden auf: Indeed + jooble.ch + talent.com, JobScout24, jobs.ch, jobscout24.ch, jobscout24.ch / myjob.ch | VERMITTLER, aber das INHALTLICH wertvollste Inserat: Endkunde ist laut Snippet ein 'etabliertes Treuhandunternehmen in der Region Luzern' mit Buchhaltung, Lohn und Steuerberatung, und arbeitet mit ABACUS inkl. Lohnbuchhaltung. Dieselbe Stelle läuft parallel auf jooble (jdp/7262895979610666380, rjdp/6599406971457456482) und talent.com "
72;64;8;;Findea AG;Luzern;;LU;Luzern Stadt und Agglo;Sachbearbeiter/in Treuhand;80-100%;1;;;Treuhandgesellschaft mit mehreren Schweizer Standorten, stark digital/online positioniert;;nein;jobscout24.ch;https://www.jobscout24.ch/en/jobs-in-lucerne/sachbearbeiter%20treuhand/;https://www.findea.ch;;;;indiziert;PRIO 1. Aus JobScout24-Zusammenfassung: 'Positionen bei 80-100% mit Unternehmen wie Balmer-Etienne AG und Findea AG in Luzern'. Findea ist bereits digital affin - Pitch eher 'noch mehr automatisieren / Skalierung ohne Kopf' statt Grundsatz-Digitalisierung.
72;64;8;;Findea AG / Startups.ch;Luzern;6003;LU;Luzern Stadt und Agglo;Junior Mandatsleiter/in Treuhand 80-100%;80-100%;1;;;Digital-Treuhänder, Schwesterfirma von Startups.ch;;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/?region=15&term=fachmann%20finanz-%20und%20rechnungswesen;https://www.findea.ch;;;;indiziert;HOHE PRIORITAET Luzern Stadt. Bereits digital positioniert - versteht den Automatisierungs-Value sofort, koennte aber auch Wettbewerber-naehe haben. 'Junior' = will guenstig skalieren, genau unser Argument.
72;64;8;;SABA-Treuhand Horw GmbH;Horw;6048;LU;Luzern Stadt und Agglo;Sachbearbeiter Treuhand 80-100%;80-100%;1;;;GmbH, Ortsname im Firmennamen - sehr kleines lokales Büro;;nein;jobscout24.ch;https://www.jobscout24.ch/en/jobs-in-lucerne/sachbearbeiter%20treuhand/;;;;;indiziert;HOHE PRIORITAET Agglo Luzern (Horw). Kleines Büro: Entscheidungsweg kurz, Inhaber direkt ansprechbar. Ideales Profil für Flusswerk.
72;64;8;;thingk ag;Luzern;6003;LU;Luzern Stadt und Agglo;Sachbearbeiter Treuhand 60-100%;60-100%;1;6;nein;Kleiner, digital klingender Name - vermutlich junges/kleines Treuhandbüro;;nein;jobscout24.ch;https://www.jobscout24.ch/de/jobs-in-luzern/sachbearbeiter%20treuhand/;;;;;indiziert;HOHE PRIORITAET Luzern Stadt. Name deutet auf Digital-Affinitaet - gute Chancen für Automatisierungs-Pitch. Auch in der Nidwalden-Trefferliste von jobscout24 aufgetaucht.
72;64;8;;Treuhand Willimann AG;Luzern;6004;LU;Luzern Stadt und Agglo;Sachbearbeiter/-in Treuhand + Mandatsleiter/-in Treuhand + Senior Mandatsleiter/-in Treuhand (3 parallele Inserate);"nicht durchgaengig sichtbar; Mandatsleiter Vollzeit";1;;;;;nein;treuhand-job.ch;https://treuhand-job.ch/region-luzern;https://treuhand-willimann.ch/;;;;indiziert;Auch gefunden auf: treuhand-willimann.ch | STAERKSTES SIGNAL DER GANZEN LISTE. Drei offene Stellen gleichzeitig über die ganze Senioritaetsleiter (SB, Mandatsleiter, Senior Mandatsleiter) = die Firma verliert/braucht Kapazität auf allen Ebenen und findet niemanden. Zudem Luzern Stadt, also persönlicher Besuch möglich. Direktes Inserat der Firma, kein Vermittler. Einstieg: 'Sie suchen seit Monaten auf drei Ebenen gleichzeitig - was, wenn ein Teil der Arbeit gar keinen Kopf mehr braucht?' Profil-URL: https://www.professional.ch/jobs/inserat/2468354-stellenbeschrieb-mandatsleiter-in-treuhand
72;64;8;;Vertax Group CH GmbH;Luzern;6003;LU;Luzern Stadt und Agglo;Sachbearbeiter Treuhand;60-100%;1;6;nein;Kleine GmbH -> wahrscheinlich Kleinbüro, sehr gute Zielgrösse.;;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/?location=luzern&term=sachbearbeiter+treuhand;;;;;indiziert;Prio-Region 1. Breites Pensum 60-100% = sie nehmen, was sie kriegen koennen -> hoher Leidensdruck. Kleine GmbH heisst: Entscheider ist Inhaber, kurzer Verkaufsweg. Direkte Inserats-URL nicht belegt, Trefferliste verlinkt.
71;66;5;;Schick Personal GmbH;Zug;;ZG;übrige Zentralschweiz;Treuhänder / Buchhalter als Abacus Projektleiter / Abacus Berater (a);nicht sichtbar;2;;;22 offene Treuhand-Mandate;Abacus;ja;treuhand-job.ch;https://treuhand-job.ch/company/schick-personal-gmbh/3268715150;;;;;indiziert;Weitere offene Stellen: Treuhänder / Buchhalter als Abacus Projektleiter / Abacus Berater (a), Hybrid | Auch gefunden auf: Jooble, jooble.ch | VERMITTLER mit 22 Treuhand-Inseraten auf treuhand-job.ch. Diese eine Stelle ist strategisch aufschlussreich: ein Zuger Treuhänder sucht einen ABACUS-PROJEKTLEITER, will also aktiv Abacus-Prozesse ausbauen - Budget und Digitalisierungswille sind vorhanden, es fehlt nur der Kopf. Exakt unser Angebot als Alternative. Firmenprofil-Seite listet alle 22 Mandate und ist damit ein guter Sammelpunkt für weitere Endkundennamen.
69;64;5;;Pilatus Consulting Treuhand AG;Hergiswil;;NW;übrige Zentralschweiz;Sachbearbeiter/in Treuhand;80-100%;1;;;;;nein;jobscout24.ch;https://www.jobscout24.ch/de/jobs-in-nidwalden/treuhand-sachbearbeiter/;;;;;indiziert;Hergiswil NW liegt ca. 15 Min ab Luzern - faktisch noch Agglo, persönlicher Besuch problemlos. Zaehlt für uns fast wie Prio 1. Kleineres Büro in Steueroase-Kanton mit vielen juristischen Mandaten.
69;64;5;;Tre Innova Treuhand AG / Hagmann Treuhand AG / CRC Treuhand AG / OFFICE ZUG AG / Consultive Treuhand AG / B+A Treuhand AG / Fellmann Treuhand AG / Huwiler & Partner Treuhand AG;;;ZG;übrige Zentralschweiz;keine konkrete offene Stelle belegt - nur Firmen-/Arbeitgeberprofile;;1;15;nein;OFFICE ZUG AG: Standorte Zug, Zürich, Schaffhausen. Hagmann Treuhand AG: mittelgrosse Revisionsfirma Bern;;nein;jobwinner.ch;https://jobwinner.ch/de/jobs?tag=662;;;;;unsicher;SAMMELEINTRAG - bewusst NICHT als Einzel-Leads geführt. Bei diesen Firmen sind mir nur Arbeitgeber-/Firmensuchseiten begegnet, KEIN belegtes offenes Sachbearbeiter-Inserat. Fellmann Treuhand AG (https://www.zentraljob.ch/firma/fellmann-treuhand-ag/6829), Huwiler & Partner Treuhand AG (.../4761) und B+A Treuhand AG (.../6551) sitzen in Luzern = Prio 1 und lohnen eine manuelle Pruefung der Karriereseite.
69;64;5;;TREUFiN Reuter AG;Schindellegi;8834;SZ;übrige Zentralschweiz;"Leiter/in Treuhand/Steuern; Mandatsleiter:in Treuhand (80-100%)";80-100%;1;;;;;nein;jooble.ch;https://ch.jooble.org/rjdp/7514185891051619255;;;;;indiziert;Prio-2-Region (Schwyz). Inserattext 'zur Verstärkung ihres Teams eine engagierte und erfahrene Mandatsleiter:in' = sucht Senior, das ist der teuerste und am schwersten zu findende Profiltyp. Starkes Argument für Automatisierung.
68;68;;;NC Consulting GmbH;;;;übrige Deutschschweiz;Treuhand Sachbearbeiter (Teilzeit);Teilzeit;1;;;;;nein;LinkedIn;https://www.linkedin.com/company/ncconsulting/;;personal@ncconsulting.ch;personal@ncconsulting.ch;;unsicher;Nur über LinkedIn-Snippet aufgetaucht. Standort/Kanton NICHT belegt, daher vor Ansprache verifizieren. E-Mail personal@ncconsulting.ch stammt aus dem Snippet. Beispiel dafür, dass LinkedIn Stellen zeigt, die auf den Jobboards fehlen.
68;60;8;;PIUS Consulting;Luzern;;LU;Luzern Stadt und Agglo;Sachbearbeiter/in Treuhand;80-100%;1;;;;Abacus;ja;;https://ch.trabajo.org/stellenangebot-2889-b1bad2aff707fce9d1bd3e88520cde87;;;;;indiziert;VERMITTLER. Snippet: 'hilft, das Sachbearbeiter-Treuhand-Team in der Region Luzern auszubauen', selbständige Führung von Kundenbuchhaltungen, Abschlüsse, Steuererklärungen, Treuhandsoftware idealerweise Abacus. Endkunde anonym, aber Region Luzern + Teamausbau bestätigt.
68;60;8;;PMS Schoenenberger (Personalberatung);Luzern;;LU;Luzern Stadt und Agglo;Senior Consultant Abacus - Finanzen & Treuhand / Finanzen & Lohnbuchhaltung;80-100%;1;;;Kunde sucht laut Snippet gleich ZWEI Personen, Schwerpunkt Standort Luzern.;Abacus;ja;;https://www.pms-schoenenberger.com/senior-consultant-abacus-finanzen-treuhand-finanzen-lohnbuchhaltung-80100-ref-3919;;;;;indiziert;VERMITTLER. Wichtig als Signal: Abacus-Beratungskapazität in Luzern ist knapp. Wenn selbst Abacus-Berater fehlen, ist Automatisierung statt Kopf das direkte Gegenangebot. Potenzieller PARTNER-Kanal für Flusswerk statt Kunde.
67;62;5;;Digitales Treuhandbüro Hochdorf (Name nicht belegt);Hochdorf;6280;LU;übrige Zentralschweiz;Digitale/r Sachbearbeiter:in Treuhand;;1;;;;;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/?region=15&term=sachbearbeiter+treuhand;;;;;unsicher;FIRMENNAME NICHT BELEGT. Möglicherweise Gewerbe-Treuhand AG (die hat einen Standort Hochdorf), aber nicht bestätigt. Stellentitel 'digital' ist inhaltlich hochinteressant für Flusswerk - vor Ansprache identifizieren.
67;62;5;;MA-LOU-AN Solutions GmbH;;;LU;übrige Zentralschweiz;Mandatsleiter/in Treuhand;50-100%;1;;;GmbH, vermutlich klein;;nein;jobagent.ch;https://www.jobagent.ch/sachbearbeiter-rechnungswesen;;;;;unsicher;Ort NICHT belegt - Kantonszuordnung LU ist eine Annahme aus dem Suchkontext und muss vor Ansprache geprueft werden. Kleiner Anbieter, Mandatsleiter-Suche bei 50-100%. Nur aufnehmen, wenn Standort bestätigt.
67;62;5;;Treuhandbüro Brunnen (Name nicht belegt);Brunnen;6440;SZ;übrige Zentralschweiz;Sachbearbeiter/-in Treuhand (60-100%);60-100%;1;6;nein;Kleines Treuhandbüro (Unterstuetzung in Finanz-, Personal- und Steuerfragen);;nein;jobscout24.ch;https://www.jobscout24.ch/de/jobs-in-schwyz/sachbearbeiterin/;;;;;unsicher;FIRMENNAME NICHT BELEGT - das Snippet nennt nur 'ein Treuhandbüro in Brunnen'. Nicht anschreiben ohne vorherige Identifikation über die Trefferliste. Als Hinweis aufgenommen, damit die Stelle nicht verloren geht.
66;58;8;;Adecco;Luzern;;LU;Luzern Stadt und Agglo;Sachbearbeiter Treuhand (m/w/d) 80-100%;80-100%;3;;;Kunde laut Inseratstext: Treuhandbüro mit Standorten Luzern UND Baar, nationale und internationale Kunden.;;ja;adecco.ch;https://www.adecco.com/de-ch/jobsuche/sachbearbeiter-treuhand-80100-mwd--luzern-luzern-kanton-luzern/9286395;https://www.adecco.com;;;;indiziert;"Weitere offene Stellen: Sachbearbeiter Treuhand D/E (m/w/d); Sachbearbeiter Treuhand & Finanzen (w/m/d) 60-80% / Sachbearbeiter/in Treuhand 80-100% / Leiter Treuhand GL-Mitglied 80-100% | Auch gefunden auf: Adecco / Adzuna, Adzuna + jooble.ch | VERMITTLER - Endkunde verdeckt, aber sehr aufschlussreich. Adecco sucht für Luzerner Treuhandkunden gleichzeitig Sachbearbeiter (60-80%), Sachbearbeiter (80-100%, jooble jdp/-2219233591453981016) UND einen Leiter Treuhand / GL-Mitglied (adzuna /details/5697315898). Aufgabenliste im Inserat ist der perfekte Automatisierungs-Katalog: Debitoren inkl. Mahnwesen, Kreditoren inkl. Zahlungslauf, MWST-Abrechnungen, Lohnlauf inkl. Sozialversicherungen, Steuererklärungen. Wenn ein Treuhänder sogar die Führungsstelle über einen Vermittler sucht, ist der Schmerz gross. Endkunde ggf. per Anruf bei Adecco Luzern oder über Textabgleich mit Firmen-Karrieres"
66;58;8;;Camenzind Human Resources GmbH;Kriens;6010;LU;Luzern Stadt und Agglo;"Mitarbeiter/in Treuhand (Voll- oder Teilzeit) 60-100%; Sachbearbeiter/in Treuhand 40-60%";40-100%;5;;;Personalvermittler;;ja;;https://www.camenzind-hr.ch/offene-stellen;https://www.camenzind-hr.ch;;;;indiziert;"Weitere offene Stellen: Sachbearbeiter Treuhand (auch Treuhand-Lehrabgaenger) 100% / Treuhand Sachbearbeiter (m/w) 60-100%; Treuhand Sachbearbeiter (60-100%) und Sachbearbeiter Finanzbuchhaltung (80-100%); Mitarbeiter/in Treuhand 60-100% (Kriens) / Sachbearbeiter Treuhand (m/w) 100% (Sursee); Treuhand Sachbearbeiter (m/w) 60-100% bzw. 100%, auch ab Treuhand-KV | Auch gefunden auf: JobScout24 / camenzind-hr.ch, jobs.ch, jobs.ch / jobagent.ch | VERMITTLER - Endkunde anonymisiert. Trotzdem wertvoll: sehr frisches Inserat (gestern) für Region Luzern/Zug. Dahinter steckt ein echtes Treuhandbüro, das so verzweifelt sucht, dass es einen Vermittler bezahlt = besonders starkes Kaufsignal. Recherche-Trick: Inseratstext woertlich googeln, oft findet man das Originalinserat der Firma."
66;64;2;;Dr.Meyer Treuhand AG;;;ZH;Nachbarkantone;Sachbearbeiter:in Treuhand 60-100%;60-100%;1;;;Inhabergeführtes Büro;;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/detail/27000bd5-4905-48ea-afae-ca0dd554b93e/;;;;;indiziert;PRIORITAET 3/4 - Ort nicht belegt, Kanton geschaetzt. Direkt-URL vorhanden.
66;58;8;;Joerg Lienert AG;Luzern;;LU;Luzern Stadt und Agglo;Mitarbeiter:in / Sachbearbeiter:in Accounting - Treuhand;50-100%;2;;;;;ja;zentraljob.ch;https://www.zentraljob.ch/job/mitarbeiterin-sachbearbeiterin-accounting-treuhand/192729;https://www.joerg-lienert.ch;;;;indiziert;Weitere offene Stellen: Mitarbeiter:in / Sachbearbeiter:in Accounting - Treuhand - Endkunde nicht genannt | VERMITTLER (bekannte Luzerner Personalberatung) - der Endkunde ist anonymisiert. Inserat beschreibt Unterstuetzung des CFO bei Finanzbuchhaltung nationaler und internationaler Mandate, Debi/Kredi inkl. Zahllaeufe, Monats-/Quartals-/Jahresabschlüsse, MWST, Steuererklärungen. Zweideutig: koennte auch eine Eigenstelle von Joerg Lienert sein. Wert für uns: Joerg Lienert selber als Multiplikator ansprechen - sie wissen genau, welche Luzerner Treuhänder seit Monaten erfolglos suchen.
66;64;2;;Mehr-Treuhand AG;;;ZH;Nachbarkantone;Payroll SpezialistIn / SachbearbeiterIn Buchhaltung/Treuhand (ca. 50%);ca. 50%;1;6;nein;Kleinbüro, sucht nur 50% - typisch für Lohnlauf-Spitzen;;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/detail/3de96c0b-20f6-48b1-95f6-d2cc944e88d5/;;;;;indiziert;PRIORITAET 3/4, Ort nicht belegt. INHALTLICH SEHR PASSEND: reine Payroll-Teilzeitstelle = genau die Arbeit, die Flusswerk automatisieren kann statt einen Kopf einzustellen. Starkes Pitch-Beispiel.
66;58;8;;Schoepfer AG;Luzern;;LU;Luzern Stadt und Agglo;Treuhand SachbearbeiterIN D/E, TreuhandsachbearbeiterIN auch ab Treuhand-KV, Mandatsleiter/in Treuhand (Senior/Junior);;3;;;Personalvermittler mit 40 Jahren Erfahrung, spezialisiert auf Rechnungswesen, Revision/Steuern und Finanzen;;ja;jooble.ch;https://ch.jooble.org/jdp/6922675037265857402;;;;0372658574;indiziert;"Weitere offene Stellen: Senior Sachbearbeiter Treuhand; Treuhandsachbearbeiter/in als Junior Mandatsleiter/in Treuhand (Festanstellung) | Auch gefunden auf: jobs.ch, jooble.org/ch | VERMITTLER (wichtig: NICHT das Treuhandbüro selbst - der Name klingt taeuschend nach einem). Mindestens vier parallele Treuhand-Mandate in der Zentralschweiz: jdp/6922675037265857402, jdp/-330723772383830612, jdp/-4455995680804152486, rjdp/6865179150473964441. STRATEGISCHER TIPP: Schoepfer AG kennt als Treuhand-Spezialist praktisch jedes suchende Büro der Region. Statt als Konkurrenz zu denken - möglicher Multiplikator/Empfehlungspartner für Flusswerk."
66;64;2;;Stucki & Co. Treuhand und Schulungen;;;BE;Nachbarkantone;Sachbearbeiter/in Treuhand Teilzeit (40%-100%);40-100%;1;6;nein;Kleinbüro mit Schulungsgeschäft;;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/detail/a0b50a09-31f5-4920-a1ca-227d077d712e/;;;;;indiziert;PRIORITAET 3/4 - Ort aus dem Snippet nicht bestimmbar, Kanton geschaetzt. Vor Mailing Ort verifizieren. Pensum 40-100% offen = flexibler Notbedarf.
66;58;8;;Wetzel Personalberatung AG;Luzern;6300;LU;Luzern Stadt und Agglo;Leiter*in Treuhand für die neue Niederlassung (Ref. 6826L);80-100%;3;;;neue Niederlassung im Aufbau;;ja;treuhand-job.ch;https://treuhand-job.ch/region-luzern;;;;;indiziert;"Weitere offene Stellen: Mandatsleiter*in Treuhand mit Führungsperspektive 80-100%; Junior Treuhand / Sachbearbeiter (m/w/d) mit Entwicklungspotenzial | Auch gefunden auf: JobScout24, jobs.ch | VERMITTLER, Endkunde anonym. Aber inhaltlich sehr interessant: gesucht wird eine Leitung für eine NEUE NIEDERLASSUNG in Luzern. Das heisst, ein Treuhänder expandiert nach Luzern und baut ein Team von null auf - der beste Moment überhaupt, um Prozesse und Automatisierung zu setzen, weil noch keine Altlasten bestehen. Referenz 6826L bei Wetzel erfragen oder über Expansionsmeldungen im Handelsregister (Zefix Tagesregister) identifizieren."
64;64;;;Schenker & Partner AG;;;;übrige Deutschschweiz;SachbearbeiterIn Treuhand;;1;;;;;nein;jobagent.ch;https://www.jobagent.ch/job/sachbearbeiterin-treuhand-schenker-partner-ag/324d724b37;;;;;indiziert;Firmenname steht im jobagent-Treffer-Titel. Ort nicht aus dem Titel ersichtlich - Region vor Ansprache pruefen (Schenker & Partner gibt es u.a. in Basel).
63;58;5;;Impuls Personal AG;Zug;;ZG;übrige Zentralschweiz;Treuhand Sachbearbeiter 50-100%;50-100%;2;;;Personaldienstleister;;ja;jobs.ch;https://www.jobs.ch/en/vacancies/?location=zug&term=sachbearbeiter%20treuhand;https://www.impuls.jobs;;;;indiziert;Weitere offene Stellen: diverse Treuhand-/Rechnungswesen-Mandate | Auch gefunden auf: impulspersonal.ch | VERMITTLER Zug. Stellenliste mit Regionsparameter r=5 (Zug) - leicht monitorbare URL-Struktur. Konkrete Treuhand-Titel nicht belegt, daher unsicher. Als regionale Sammelquelle für Zuger Endkunden brauchbar.
63;58;5;;Joker Personal AG;;;LU;übrige Zentralschweiz;Sachbearbeiter/in Treuhand 70-100%;70-100%;2;;;Personaldienstleister, Region Zentralschweiz;;ja;jobscout24.ch;https://www.jobscout24.ch/de/jobs-in-nidwalden/treuhand-sachbearbeiter/;https://www.joker.ch;;;;indiziert;Weitere offene Stellen: Sachbearbeiter/in Treuhand | Auch gefunden auf: JobScout24 | VERMITTLER. Laut JobScout24-Zusammenfassung MEHRERE parallele Sachbearbeiter-Treuhand-Positionen in der Zentralschweiz - also mehrere suchende Treuhandbüros als Endkunden.
63;58;5;;Personal Sigma Sursee AG;Sursee;6210;LU;übrige Zentralschweiz;Mandatsleiter/in Treuhand 60-100% (Luzern) / Sachbearbeiter Treuhand 80-100% (Sursee);60-100%;2;;;Regionaler Personaldienstleister Sursee;;ja;jobs.ch;https://www.jobs.ch/de/stellenangebote/?location=luzern&term=sachbearbeiter+treuhand;https://www.personalsigma.ch;;;;indiziert;Weitere offene Stellen: Sachbearbeiter Payroll | Auch gefunden auf: offene-stellen.ch / jobagent.ch | VERMITTLER mit Sitz Sursee LU. Payroll-Mandat in Prio-1/2-Region. Regionaler Vermittler, gut ansprechbar als Multiplikator: er kennt die Luzerner Firmen, die Payroll-Kapazität suchen und nicht finden.
62;62;;;JWK Treuhand & Revisions AG;;;;übrige Deutschschweiz;Sachbearbeiter:in Treuhand 60-80%;60-80%;1;;;;;nein;LinkedIn;https://ch.linkedin.com/jobs/sachbearbeiter-in-treuhand-stellen-luzern;https://www.jwk.ch;;;;unsicher;NUR aus LinkedIn-Snippet-Fliesstext. Der einzige harte JWK-Treffer war ein Personenprofil, kein Stelleninserat. Inserat laut Snippet wirbt mit 'moderner Ausruestung, zentraler Lage'. Vor Ansprache auf www.jwk.ch/karriere selber verifizieren.
60;52;8;;Manpower;Luzern;;LU;Luzern Stadt und Agglo;Sachbearbeiterin Treuhand temporaer (m/w);;1;;;;;ja;jooble.ch;https://ch.jooble.org/rjdp/-6617206233192274208;;;;;indiziert;VERMITTLER. TEMPORAER-Einsatz im Treuhand ist das stärkste Überlastungssignal überhaupt: der Endkunde braucht sofort Kapazität und zahlt Temporaer-Aufschlag. Sehr guter Zeitpunkt für einen Automatisierungs-Pitch, Endkunde aber verdeckt.
60;52;8;;progress personal ag;Luzern;;LU;Luzern Stadt und Agglo;"treuhänderin / sachbearbeiterin treuhand 60-100% (w/m/d); sachbearbeiterin treuhand 50-100% (m/w/d)";50-100%;1;;;Personaldienstleister, zwei parallele Treuhand-Mandate;;ja;jobup.ch;https://www.jobup.ch/en/jobs/detail/31a74679-99f4-429f-bd56-5e1f1b2ad7bc/;;;;;indiziert;VERMITTLER. Snippet: 'Im Raum Luzern sucht ein Treuhandunternehmen eine engagierte Sachbearbeiterin Treuhand 60-100%' - Endkunde anonymisiert, aber Region Luzern belegt. Aufgaben: Haupt- und Nebenbuchhaltungen, Lohnwesen, Jahresabschlüsse. Zweites Inserat: jobup detail/0a15b18e-b949-45fd-bc6c-8fe1207c2f3d/.
60;52;8;;Randstad;Luzern;;LU;Luzern Stadt und Agglo;Lohnbuchhalter;100%;1;;;;;ja;jobagent.ch;https://www.jobagent.ch/sachbearbeiter-rechnungswesen;https://www.randstad.ch;;;;indiziert;VERMITTLER, Grosskonzern. Endkunde anonym, Ort nur aus Suchkontext abgeleitet und nicht belegt. Nur als Marktbeleg für Payroll-Engpass fuehren.
60;52;8;;Sotra Agency GmbH;Luzern;;LU;Luzern Stadt und Agglo;Sachbearbeiter/in Treuhand mit Karrieremöglichkeit;80-100%;1;;;;;ja;jobs.ch;https://www.jobs.ch/de/stellenangebote/?location=luzern&term=sachbearbeiter+treuhand;;;;;indiziert;VERMITTLER. Lohnangabe im Inserat CHF 75'000-85'000/Jahr - nuetzlicher ROI-Anker für den Pitch: eine unbesetzte Sachbearbeiter-Stelle kostet voll geladen rund CHF 100k pro Jahr. Sechs Standorte gleichzeitig ausgeschrieben deutet auf Sammelinserat, nicht auf sechs echte Vakanzen.
60;52;8;;Univativ;Luzern;;LU;Luzern Stadt und Agglo;Sachbearbeiter Treuhand (m/w) 60-100%;60-100%;1;;;;;ja;;https://www.univativ.ch/jobboerse/sachbearbeiter-treuhand-mw-P202446908_1S;;;;;indiziert;VERMITTLER. Eigene Inserat-URL. Snippet: Stellenantritt per sofort oder nach Vereinbarung - also akuter Bedarf.
58;53;5;;b a treuhand ag;Cham;6330;ZG;übrige Zentralschweiz;Hinweis auf Stellen - nicht sauber belegt;;1;;;;;nein;jobscout24.ch;https://www.jobscout24.ch/en/jobs-in-cham/b%20a%20treuhand%20ag/;;;;;unsicher;"JobScout24 führt eine Firmen-Suchseite; die genannte Trefferzahl ist eine generische Portal-Zahl und KEIN Beleg für offene Stellen bei dieser Firma. Bewusst nur 'unsicher'. Prio-Region 2, Kleinbüro-Profil - manuell pruefen."
58;53;5;;CSC;Zug;;ZG;übrige Zentralschweiz;SachbearbeiterIn Treuhand / Fiduciary 80-100% (hybrid);80-100%;1;200;nein;Internationaler Corporate-Services-Konzern (vermutlich Corporation Service Company);;nein;themuse.com;https://themuse.com/jobs/csc/sachbearbeiterin-treuhand-fiduciary;;;;;indiziert;Firmenkuerzel 'CSC' im Treffer-Titel - Rechtstraeger nicht eindeutig belegt, vor Ansprache pruefen. Hybrid-Modell Mo-Fr. Internationaler Konzern in Zug = Prio 2, aber Entscheid faellt wahrscheinlich nicht lokal.
58;50;8;;glaus | personal;Luzern;;LU;Luzern Stadt und Agglo;Sachbearbeiter Treuhand;60-100%;1;;;;;ja;jobscout24.ch;https://www.jobscout24.ch/en/jobs-in-lucerne/sachbearbeiter%20treuhand/;;;;;unsicher;VERMITTLER. Nur als Name in einer JobScout24-Zusammenfassung aufgetaucht, ohne eigene Inserat-URL. Niedrige Priorität.
57;52;5;;Flexa Personal AG;Zug;;ZG;übrige Zentralschweiz;Mandatsleiter/-in Treuhand 80-100%;80-100%;1;;;Personaldienstleister;;ja;jobup.ch;https://www.jobup.ch/fr/emplois/detail/cce1813a-a9e0-4414-998e-c7a2d7092f48/;;;;;indiziert;VERMITTLER. Snippet beschreibt den Endkunden: 'junges Dienstleistungsunternehmen und Schwesterfirma eines renommierten Bauunternehmens im Kanton Zug, Sitz Stadt Zug, Dienstleistungen für KMU und Startups, die Supportaufgaben auslagern wollen'. Dieser Endkunde wäre ein idealer Flusswerk-Kunde (Outsourcing-Modell = skaliert nur mit Automatisierung), ist aber namentlich nicht belegt.
57;52;5;;job impuls ag;Zug;6300;ZG;übrige Zentralschweiz;Sachbearbeiter*in Rechnungswesen Treuhand 80-100%;80-100%;1;;;Personaldienstleister (Niederlassung Zürich, Mandat in Zug);;ja;jobscout24.ch;https://www.jobscout24.ch/de/jobs-in-zug/sachbearbeiter%20treuhand/;https://www.jobimpuls.ch;;;;indiziert;VERMITTLER, Endkunde anonymisiert.
57;52;5;;Persigo AG / Persigo Stans AG;Sursee;;LU;übrige Zentralschweiz;(Senior) Sachbearbeiterin Treuhand 60-80% (Sursee), Sachbearbeiterin Treuhand 40-100%, Sachbearbeiterin Finanz- & Rechnungswesen (Luzern);40-100%;1;;;;;ja;jobs.ch;https://www.persigo.ch/stelle-finden/stelle/XM6S22/;;;;0269335578;indiziert;VERMITTLER mit Zentralschweizer Fokus (Sursee, Luzern, Stans - genau Prio 1/2). Eigene Inserat-URL auf persigo.ch ist ohne Bot-Schutz abrufbar und nennt dem Menschen ggf. mehr zum Endkunden. Weitere Spur: jooble rjdp/-8693026933557854337.
57;52;5;;PERSONAL KOLIN AG;Steinhausen;6312;ZG;übrige Zentralschweiz;Sachbearbeiter Treuhand;60-100%;1;;;Personaldienstleister;;ja;jobscout24.ch;https://www.jobscout24.ch/de/jobs-in-zug/sachbearbeiter%20treuhand/;;;;;indiziert;VERMITTLER, Endkunde anonymisiert.
